scrip,company,headline,summary,published_date,source,url
SWANENERGY,Swan Energy Limited,"Swan Energy, Balu Forge Industries shares jump up to 8%; here's why - Business Today","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQZklTUTFVeGF6YjVEb3VTQkRDV2lIdm5CNHFvWHRNcjZ4YTVDM3BwT1R1NjBWaHlhanQxUjdxZ2VLZU1QNldVNmEwc3pUM3pQUzZ4QjJjN0g5TXg0d0lOX0VQUTQ5NkY0aG04dU0yR2hqOFJBM2VjTXM1cFVaM1dWYWRqcHp1UXk0dHNCcHRiQ012M1NmdHhrT0Y3czY4YlpEejNvQzd2bnJoTXVFYkxjU21IV1dFVWNnQk9lU09sZ2NOTWlYUUNQaUtLONIB0AFBVV95cUxNbWhyWml6Z0o1Y0t6Q1liLUhpUVlFaGp3VjFRcEpVcGlzbkc2SUlDenZySlNSWHAycG81UHZNQ1NCMUNtdUQyWW0wSm56TC1tOWVqdjg5RVhMaDJaQVB1YmVILXV4Q2ZhV05tVElzZURhbXFMa3RSY3dmMjBTdFc3Yk1XZU55WmJJX19sZUtjenFkdmZ1ampmTUQtWUQxcEFVdG4yZm1JeDlRbC1SaUQ0ajlWQ0QxNVV6SE5iRER5Wk9lbjIwRHgyWF82WG13bGx4?oc=5"" target=""_blank"">Swan Energy, Balu Forge Industries shares jump up to 8%; here's why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-06-24 07:00:00,Business Today,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZklTUTFVeGF6YjVEb3VTQkRDV2lIdm5CNHFvWHRNcjZ4YTVDM3BwT1R1NjBWaHlhanQxUjdxZ2VLZU1QNldVNmEwc3pUM3pQUzZ4QjJjN0g5TXg0d0lOX0VQUTQ5NkY0aG04dU0yR2hqOFJBM2VjTXM1cFVaM1dWYWRqcHp1UXk0dHNCcHRiQ012M1NmdHhrT0Y3czY4YlpEejNvQzd2bnJoTXVFYkxjU21IV1dFVWNnQk9lU09sZ2NOTWlYUUNQaUtLONIB0AFBVV95cUxNbWhyWml6Z0o1Y0t6Q1liLUhpUVlFaGp3VjFRcEpVcGlzbkc2SUlDenZySlNSWHAycG81UHZNQ1NCMUNtdUQyWW0wSm56TC1tOWVqdjg5RVhMaDJaQVB1YmVILXV4Q2ZhV05tVElzZURhbXFMa3RSY3dmMjBTdFc3Yk1XZU55WmJJX19sZUtjenFkdmZ1ampmTUQtWUQxcEFVdG4yZm1JeDlRbC1SaUQ0ajlWQ0QxNVV6SE5iRER5Wk9lbjIwRHgyWF82WG13bGx4?oc=5
SWANENERGY,Swan Energy Limited,Here's why Swan Energy shares jumped 5% on December 2; details here - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQbkFqcGdBY0xDVVJhRnlnWW41Y2NmcW5lTWM0TjBBQ1dPRUFPNnJZWHRoS0V1aWlxSXBCZFFULThPSk9JNS13UElYV09FemdSeUVyVWl0Nk5WWkh2cmMyRG9ZSjFmYldxYnVJNVZiRHVyQmZKQjVPMHA5UFJaZTQtWWNRakplV2NRbkl0MHB1QkRPeXNiLVQyLVVpQnJfY2N6LUxfN2M0dmNsLWgwOVZJX2puWHdtMlc0LXpESHBGeFM1MmhnMHVCemJFV2HSAdIBQVVfeXFMTW9MZFhUUXRnU2lrV1pQRkdCWmFtQ25TWlZBLUtUbnp2UjZRUUNjUlV4M0hDSGVXeXB0a0V1ZlkyQ0o2WUROMkxvZEUzcjFEVElXLVcyaXpzZG1rZ194a0VrZkpNTnZZa21kQ2RnTTlVb3R4b1VydmFEaUdHeE1HVjdVcXBsMXpZRGUtaE9PM3FaU195dE5oSnVtUUFLeGh4NkZYUzFBMUhwMHM1a25hSW82c2EwYVlBQmJLbzdGVllYUGg2aDlid3JCZmstR2Z4dFlB?oc=5"" target=""_blank"">Here's why Swan Energy shares jumped 5% on December 2; details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2024-12-02 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxQbkFqcGdBY0xDVVJhRnlnWW41Y2NmcW5lTWM0TjBBQ1dPRUFPNnJZWHRoS0V1aWlxSXBCZFFULThPSk9JNS13UElYV09FemdSeUVyVWl0Nk5WWkh2cmMyRG9ZSjFmYldxYnVJNVZiRHVyQmZKQjVPMHA5UFJaZTQtWWNRakplV2NRbkl0MHB1QkRPeXNiLVQyLVVpQnJfY2N6LUxfN2M0dmNsLWgwOVZJX2puWHdtMlc0LXpESHBGeFM1MmhnMHVCemJFV2HSAdIBQVVfeXFMTW9MZFhUUXRnU2lrV1pQRkdCWmFtQ25TWlZBLUtUbnp2UjZRUUNjUlV4M0hDSGVXeXB0a0V1ZlkyQ0o2WUROMkxvZEUzcjFEVElXLVcyaXpzZG1rZ194a0VrZkpNTnZZa21kQ2RnTTlVb3R4b1VydmFEaUdHeE1HVjdVcXBsMXpZRGUtaE9PM3FaU195dE5oSnVtUUFLeGh4NkZYUzFBMUhwMHM1a25hSW82c2EwYVlBQmJLbzdGVllYUGg2aDlid3JCZmstR2Z4dFlB?oc=5
SWANENERGY,Swan Energy Limited,Swan Energy Limited (NSE:SWANENERGY)'s Return on Capital - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcWlZaV9UbE1CREhyVFM1REtNaXdTY1czM2hpM3c1Q1FsSld2dm9oaVV5eVFXd1hhVmRFYnhyZkJ6dmhXcFl4ZVkxQzFyMmFHdFg1VUcwWGN3Y1VmZlRoVE8xWF9mZEp2X2luWEFqNGJIbE1wdnppdzhsSUdCNTE0VHZfQVRqV3FrRXRJY3lUMnhwaE5GMUxXT2Z0Mnhmc010VU1IX2RlNFlPZ1NoQkh2V0ZMbzIwclBhcy1WQW9ZbmJMeEpzVllfTF9HcFoyb2ZQRE9TYy1XNnZCWkFDcEHSAd4BQVVfeXFMUHFpWWlfVGxNQkRIclRTNURLTWl3U2NXMzNoaTN3NUNRbEpXdnZvaGlVeXlRV3dYYVZkRWJ4cmZCenZoV3BZeGVZMUMxcjJhR3RYNVVHMFhjd2NVZmZUaFRPMVhfZmRKdl9pblhBajRiSGxNcHZ6aXc4bElHQjUxNFR2X0FUaldxa0V0SWN5VDJ4cGhORjFMV09mdDJ4ZnNNdFVNSF9kZTRZT2dTaEJIdldGTG8yMHJQYXMtVkFvWW5iTHhKc1ZZX0xfR3BaMm9mUERPU2MtVzZ2QlpBQ3BB?oc=5"" target=""_blank"">Swan Energy Limited (NSE:SWANENERGY)'s Return on Capital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2018-04-30 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcWlZaV9UbE1CREhyVFM1REtNaXdTY1czM2hpM3c1Q1FsSld2dm9oaVV5eVFXd1hhVmRFYnhyZkJ6dmhXcFl4ZVkxQzFyMmFHdFg1VUcwWGN3Y1VmZlRoVE8xWF9mZEp2X2luWEFqNGJIbE1wdnppdzhsSUdCNTE0VHZfQVRqV3FrRXRJY3lUMnhwaE5GMUxXT2Z0Mnhmc010VU1IX2RlNFlPZ1NoQkh2V0ZMbzIwclBhcy1WQW9ZbmJMeEpzVllfTF9HcFoyb2ZQRE9TYy1XNnZCWkFDcEHSAd4BQVVfeXFMUHFpWWlfVGxNQkRIclRTNURLTWl3U2NXMzNoaTN3NUNRbEpXdnZvaGlVeXlRV3dYYVZkRWJ4cmZCenZoV3BZeGVZMUMxcjJhR3RYNVVHMFhjd2NVZmZUaFRPMVhfZmRKdl9pblhBajRiSGxNcHZ6aXc4bElHQjUxNFR2X0FUaldxa0V0SWN5VDJ4cGhORjFMV09mdDJ4ZnNNdFVNSF9kZTRZT2dTaEJIdldGTG8yMHJQYXMtVkFvWW5iTHhKc1ZZX0xfR3BaMm9mUERPU2MtVzZ2QlpBQ3BB?oc=5
SWANENERGY,Swan Energy Limited,Swan Energy's shipyard (Reliance Naval and Engineering) resumes operations; stock jumps 5% - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQVnpMMDA1akEwcU1WeWRzRk5hNVFEcTNVbFMxWDJIUnFFNTJKM2ZzVF9wbWQ1YjVYTHVjV0dabFVid2FnVUxOdUc4WFpHeWZkWG5Vb242Z1YwcEJXNHNmdWprVGhVdmJQU082UnNhUjRCVjB6Q0xpVU1ZRjBkeTZRRFBjNU9NYjA4aFdkQjlpY1BQVVVTZHpfaFBvYjNxREFIRnJURFlDQTE2SHdSUHhaQl9uYUhWRUM5VkE1SzlXTlhPR0xjRGZZSnFrOUlTWlBDNVE0OFJYTktmUGVvOVFnT1R4dDJZQjRw0gHuAUFVX3lxTE90dkxucUVFSjRDVHhjSmxLdlZYdFB5WDJ5UXdoV215UzFjdHd6RzZwaFJFUXZrVngtZ0t5OXo3VnBXaEZlTGx0ZW51SGg0WFN5WHJLQmZXekt1YlpXclF3VW96Zks0XzYxajhTU1JLd3FvWDN2QzhnWGtTN0pzVUtfNFBBYjNaU09ZRmNuUlpLbVFKM1Z2YVpkVS11ZzNkeFVzLTN1c2dsM3pQRW5QT3lybFRvVkM3OXg4dUVnVUN3bVZpREJQdWRGNWdmekZlZUxEcGdaWXNQc0gwM1drMWpERVphaWRFMzBaMmZaZXc?oc=5"" target=""_blank"">Swan Energy's shipyard (Reliance Naval and Engineering) resumes operations; stock jumps 5%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-12-02 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQVnpMMDA1akEwcU1WeWRzRk5hNVFEcTNVbFMxWDJIUnFFNTJKM2ZzVF9wbWQ1YjVYTHVjV0dabFVid2FnVUxOdUc4WFpHeWZkWG5Vb242Z1YwcEJXNHNmdWprVGhVdmJQU082UnNhUjRCVjB6Q0xpVU1ZRjBkeTZRRFBjNU9NYjA4aFdkQjlpY1BQVVVTZHpfaFBvYjNxREFIRnJURFlDQTE2SHdSUHhaQl9uYUhWRUM5VkE1SzlXTlhPR0xjRGZZSnFrOUlTWlBDNVE0OFJYTktmUGVvOVFnT1R4dDJZQjRw0gHuAUFVX3lxTE90dkxucUVFSjRDVHhjSmxLdlZYdFB5WDJ5UXdoV215UzFjdHd6RzZwaFJFUXZrVngtZ0t5OXo3VnBXaEZlTGx0ZW51SGg0WFN5WHJLQmZXekt1YlpXclF3VW96Zks0XzYxajhTU1JLd3FvWDN2QzhnWGtTN0pzVUtfNFBBYjNaU09ZRmNuUlpLbVFKM1Z2YVpkVS11ZzNkeFVzLTN1c2dsM3pQRW5QT3lybFRvVkM3OXg4dUVnVUN3bVZpREJQdWRGNWdmekZlZUxEcGdaWXNQc0gwM1drMWpERVphaWRFMzBaMmZaZXc?oc=5
SWANENERGY,Swan Energy Limited,Is Swan Energy (NSE:SWANENERGY) Likely To Turn Things Around? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQRS1oYXg3WjB1SjdIUWxrZzYyeEZadko1M1lLR3JsYjZIQ3AzZDNZMi1VVzU0T2laTm5DR2RBWmpkM2ZjU3B1TjNwcmdDUnRPcDUxd0FLZjluODJybjNmdE5SMURULV8tY0d1a3BGbXZjU1ZWT2k0U2Z2UzVrcWc1V2tLd0Vlel82S2ZmbHIxT3R6cVl4QnFaWk9VVWFnYWtqWE5vU2xjR2NFc2dJUklPV1I0MkpaNDVMaTFrM3NuRnNRUVF5RTRHZ1BIR2wzY0dHVUtBZEszNF9rcjBPQU01N2ljUGXSAeQBQVVfeXFMUEUtaGF4N1owdUo3SFFsa2c2MnhGWnZKNTNZS0dybGI2SENwM2QzWTItVVc1NE9pWk5uQ0dkQVpqZDNmY1NwdU4zcHJnQ1J0T3A1MXdBS2Y5bjgycm4zZnROUjFEVC1fLWNHdWtwRm12Y1NWVk9pNFNmdlM1a3FnNVdrS3dFZXpfNktmZmxyMU90enFZeEJxWlpPVVVhZ2FralhOb1NsY0djRXNnSVJJT1dSNDJKWjQ1TGkxazNzbkZzUVFReUU0R2dQSEdsM2NHR1VLQWRLMzRfa3IwT0FNNTdpY1Bl?oc=5"" target=""_blank"">Is Swan Energy (NSE:SWANENERGY) Likely To Turn Things Around?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2020-11-01 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQRS1oYXg3WjB1SjdIUWxrZzYyeEZadko1M1lLR3JsYjZIQ3AzZDNZMi1VVzU0T2laTm5DR2RBWmpkM2ZjU3B1TjNwcmdDUnRPcDUxd0FLZjluODJybjNmdE5SMURULV8tY0d1a3BGbXZjU1ZWT2k0U2Z2UzVrcWc1V2tLd0Vlel82S2ZmbHIxT3R6cVl4QnFaWk9VVWFnYWtqWE5vU2xjR2NFc2dJUklPV1I0MkpaNDVMaTFrM3NuRnNRUVF5RTRHZ1BIR2wzY0dHVUtBZEszNF9rcjBPQU01N2ljUGXSAeQBQVVfeXFMUEUtaGF4N1owdUo3SFFsa2c2MnhGWnZKNTNZS0dybGI2SENwM2QzWTItVVc1NE9pWk5uQ0dkQVpqZDNmY1NwdU4zcHJnQ1J0T3A1MXdBS2Y5bjgycm4zZnROUjFEVC1fLWNHdWtwRm12Y1NWVk9pNFNmdlM1a3FnNVdrS3dFZXpfNktmZmxyMU90enFZeEJxWlpPVVVhZ2FralhOb1NsY0djRXNnSVJJT1dSNDJKWjQ1TGkxazNzbkZzUVFReUU0R2dQSEdsM2NHR1VLQWRLMzRfa3IwT0FNNTdpY1Bl?oc=5
SWANENERGY,Swan Energy Limited,"Swan Energy shares zoom 15% as company clarifies on Myanmar, Asia Sun Trading - Business Today","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQcXotUWROendxMDhyUFBkVkprRkNUVzhTclJiMmY0MmhxVnMwZU1STFUwNGtKZ3g1VDhOaUdCcDIzaHdlTU5vdk5UQnJTRDFGM2NXcTI1OGhUamZ4cmNfTTlscVVsaktVbVBpY052UlBZM1dteFZDY0FyWUdocUFuQXJxZE1QMFMtcGVQR3V1b05XRHAyZzU4bHRiWW00T3lnTDYzYWYxcVptNnNfeGpydUFvbDJUaHFLQWlzSm5BZjlsRmtGVXJDcWZTelBpcXEyTGMzMnNLWWliYVXSAeABQVVfeXFMTnpFMmFTZzFuR0RPNzdZYmE0R0NqOTZhWjNaSHNCN2JkTU1VT2NIbUhqX1R0Q1RFRVRPcG5sem1nblA4SE0tdmVWTl9Bc0ZaLU42UGR4VWNxT3hxRHJXOWZRLVRyRlN5UGRIUWlpcGoyNmhzTVJKN0NtMWVDOHBlTm1jSS1icXl5QWFOcHIzZ1RNM3NqWGhORzc4MmpNd0FaaDJBRjV4d2NzNWEwaVhLekFaRGRTaG5VcTJjSGpPWmtNUmppc2N4UlFJUHoxRzF4RlRyVDQ0ZXFVVWh6UGRvS2E?oc=5"" target=""_blank"">Swan Energy shares zoom 15% as company clarifies on Myanmar, Asia Sun Trading</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-11-07 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQcXotUWROendxMDhyUFBkVkprRkNUVzhTclJiMmY0MmhxVnMwZU1STFUwNGtKZ3g1VDhOaUdCcDIzaHdlTU5vdk5UQnJTRDFGM2NXcTI1OGhUamZ4cmNfTTlscVVsaktVbVBpY052UlBZM1dteFZDY0FyWUdocUFuQXJxZE1QMFMtcGVQR3V1b05XRHAyZzU4bHRiWW00T3lnTDYzYWYxcVptNnNfeGpydUFvbDJUaHFLQWlzSm5BZjlsRmtGVXJDcWZTelBpcXEyTGMzMnNLWWliYVXSAeABQVVfeXFMTnpFMmFTZzFuR0RPNzdZYmE0R0NqOTZhWjNaSHNCN2JkTU1VT2NIbUhqX1R0Q1RFRVRPcG5sem1nblA4SE0tdmVWTl9Bc0ZaLU42UGR4VWNxT3hxRHJXOWZRLVRyRlN5UGRIUWlpcGoyNmhzTVJKN0NtMWVDOHBlTm1jSS1icXl5QWFOcHIzZ1RNM3NqWGhORzc4MmpNd0FaaDJBRjV4d2NzNWEwaVhLekFaRGRTaG5VcTJjSGpPWmtNUmppc2N4UlFJUHoxRzF4RlRyVDQ0ZXFVVWh6UGRvS2E?oc=5
SWANENERGY,Swan Energy Limited,Reliance Naval & Engineering renamed as Swan Defence & Heavy Industries; check details - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQeUYtZG1FZENwSEU4dWk3Z2ZhSzNVbHctT2FvaEplUVRvbnltRXZfZHFVajBodFVlWGNuMkhKM2xKQlMwNWdLeExsTGZaZk8xV1diNk1uSGM4b3NZWmNZdlVlVS1zcktlQ1ZZTzZ4X3lDdW92a0k0OXZBMVE3MWxQMnYxZzRBa0lmZWd5YzUyNl9uNG9yOTBfQS1oQlJfQ3pJbHUxdmRfYzluaEVDQ3hxUnNtdnlBVWNDM3pfckZ6eXVmcVNaYlRhWkV1c0xuQ1dqUTV0M2w4YmZqZXBGR1lMa2ozS3VXUdIB6wFBVV95cUxQQk03MEhyR09rT1NIaXRzRGJuYlpQX3RRT3JUUkxnX1lfa3Q0dUpCdG1LM2psYTVGcktrZ0ktVWlBOUpLNi1GV2xyU2JMOXIwa1ZwQXBTTDB2SzF1aUNENTV2OGUwYVozcktVa2JnRUw2Y0tFODYwbWdYTUs4dUdscklIV3IzZmlia25lYUZNZmx5SzNISTBfRW5nUWNtemZQTXdCOWJYM0l0VEx4RWQzVWVvWXRqdloxMm9RZkVQSjJNTUtxQV9JRzZFc1F1cGVZMXhtVnVrbDRJNmZSWkxaWW5RaXlsQTdVbEpF?oc=5"" target=""_blank"">Reliance Naval & Engineering renamed as Swan Defence & Heavy Industries; check details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-01-02 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQeUYtZG1FZENwSEU4dWk3Z2ZhSzNVbHctT2FvaEplUVRvbnltRXZfZHFVajBodFVlWGNuMkhKM2xKQlMwNWdLeExsTGZaZk8xV1diNk1uSGM4b3NZWmNZdlVlVS1zcktlQ1ZZTzZ4X3lDdW92a0k0OXZBMVE3MWxQMnYxZzRBa0lmZWd5YzUyNl9uNG9yOTBfQS1oQlJfQ3pJbHUxdmRfYzluaEVDQ3hxUnNtdnlBVWNDM3pfckZ6eXVmcVNaYlRhWkV1c0xuQ1dqUTV0M2w4YmZqZXBGR1lMa2ozS3VXUdIB6wFBVV95cUxQQk03MEhyR09rT1NIaXRzRGJuYlpQX3RRT3JUUkxnX1lfa3Q0dUpCdG1LM2psYTVGcktrZ0ktVWlBOUpLNi1GV2xyU2JMOXIwa1ZwQXBTTDB2SzF1aUNENTV2OGUwYVozcktVa2JnRUw2Y0tFODYwbWdYTUs4dUdscklIV3IzZmlia25lYUZNZmx5SzNISTBfRW5nUWNtemZQTXdCOWJYM0l0VEx4RWQzVWVvWXRqdloxMm9RZkVQSjJNTUtxQV9JRzZFc1F1cGVZMXhtVnVrbDRJNmZSWkxaWW5RaXlsQTdVbEpF?oc=5
SWANENERGY,Swan Energy Limited,"Swan Energy completes acquisition of Reliance Naval, stock jumps 12% - Business Today","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQemIxeThrbmJlVS1oZWdQaEpiSlhDNmpZS0hvUHB4ZHpBQmVrMUwyZ05JWVNuUlN2dXd2blNESHZSbkRoOHQ2c28tbzU1bnBYeXVKUmpKczlyeFpjY1F2VWxRSi05M1VEVFdKVE1TaTBiLW9MT0NWSWxBQk9OS2ViamRPaGpSX3dITlNVckx2NTFxc3loZjlQVkpNNm42YjZqcG9FQjlMU3BrSElOcXdDbjI4U3FvY2JHMmRYa1FPYm9yVjY4Y0ZUTjlWdHExbEHSAdQBQVVfeXFMT2xpNmFrdjVkbFdQSGdTMkVnZmxzTHpVRlR4VE5SckVxa2ptcnZla1gxTzVPN1kwV2pKOHhsbERLdjRfWWxIWFlLQ3ZrX1pCTlprVWE4elA3TDktZXlXRVVaUWJHV2FFT3FxS2dhbnp2bGNuSzlHd085cVJPa2NfN1Jsc1VfczRjRVVydWp6WnprR0JjcGdzWHhiV096ZFdlX3YwbEV2elZtNUlWS3ZFQTBoT0YySEU0dGNpMjMtZTE0MmV2OFBaa1ktcGRtaGpHbktUTmI?oc=5"" target=""_blank"">Swan Energy completes acquisition of Reliance Naval, stock jumps 12%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-10-27 07:00:00,Business Today,https://news.google.com/rss/articles/CBMizwFBVV95cUxQemIxeThrbmJlVS1oZWdQaEpiSlhDNmpZS0hvUHB4ZHpBQmVrMUwyZ05JWVNuUlN2dXd2blNESHZSbkRoOHQ2c28tbzU1bnBYeXVKUmpKczlyeFpjY1F2VWxRSi05M1VEVFdKVE1TaTBiLW9MT0NWSWxBQk9OS2ViamRPaGpSX3dITlNVckx2NTFxc3loZjlQVkpNNm42YjZqcG9FQjlMU3BrSElOcXdDbjI4U3FvY2JHMmRYa1FPYm9yVjY4Y0ZUTjlWdHExbEHSAdQBQVVfeXFMT2xpNmFrdjVkbFdQSGdTMkVnZmxzTHpVRlR4VE5SckVxa2ptcnZla1gxTzVPN1kwV2pKOHhsbERLdjRfWWxIWFlLQ3ZrX1pCTlprVWE4elA3TDktZXlXRVVaUWJHV2FFT3FxS2dhbnp2bGNuSzlHd085cVJPa2NfN1Jsc1VfczRjRVVydWp6WnprR0JjcGdzWHhiV096ZFdlX3YwbEV2elZtNUlWS3ZFQTBoT0YySEU0dGNpMjMtZTE0MmV2OFBaa1ktcGRtaGpHbktUTmI?oc=5
SWANENERGY,Swan Energy Limited,Swan Energy shares update on Reliance Naval acquisition & relisting; stock down 5% - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNSExGNG5EMDhZN1h4QTVqcDlDZUQ2WHpuVHhZcWhzbnJtUkJKeXlTbXZRS0pwcE1iRGJobGNGT1dTam1sYXlZYTFmYVNKNVktZFpFTm9JSXhDZU0zaE9SSUFaS0tzU1hlNVRnaHVxeTBpVmZGRHotQk1qMTY1TjJONFdKZC12emJYY0FkYkxiRzFvME9nemxoWVpPajFjRWJjN3M4WEpic3YzOFgyV1U3M1RCVFhqeGtVb3Q4Wl9hd1Rub2xQeVVuOGJwelprVG03XzM5R3JVR2VyUFB5VUhLU0RHMWNTUmtn0gHuAUFVX3lxTE9nRmNldF9OTUNwVWpzblp4Z2dfck45cGxYM1BNT09NNDJ6S1BMdjRGaGZtaHZGLWFCZzUtX052d3Y2cWxNbmwyNUNkQmoyUDZIMGswdklBWGdjakhvV2xSYU9yTEJyR09ycFVqNk9kZkhzREhacDdoY2N4YkdqUXBUekJxTmV4Tnd5cERMM3FkUDRiSUZGWG9FRDNmV1o1cEJVQ1dJUlFCRTcwZG8zSTlKNTB6SU5meTJJbFBfaGliVVBwcDlYTG9VZmJJd1hRNzljQVNQYTlHU3RBSDVOUHIzVXYxTnZCSGZyY3B6QXc?oc=5"" target=""_blank"">Swan Energy shares update on Reliance Naval acquisition & relisting; stock down 5%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-05-09 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNSExGNG5EMDhZN1h4QTVqcDlDZUQ2WHpuVHhZcWhzbnJtUkJKeXlTbXZRS0pwcE1iRGJobGNGT1dTam1sYXlZYTFmYVNKNVktZFpFTm9JSXhDZU0zaE9SSUFaS0tzU1hlNVRnaHVxeTBpVmZGRHotQk1qMTY1TjJONFdKZC12emJYY0FkYkxiRzFvME9nemxoWVpPajFjRWJjN3M4WEpic3YzOFgyV1U3M1RCVFhqeGtVb3Q4Wl9hd1Rub2xQeVVuOGJwelprVG03XzM5R3JVR2VyUFB5VUhLU0RHMWNTUmtn0gHuAUFVX3lxTE9nRmNldF9OTUNwVWpzblp4Z2dfck45cGxYM1BNT09NNDJ6S1BMdjRGaGZtaHZGLWFCZzUtX052d3Y2cWxNbmwyNUNkQmoyUDZIMGswdklBWGdjakhvV2xSYU9yTEJyR09ycFVqNk9kZkhzREhacDdoY2N4YkdqUXBUekJxTmV4Tnd5cERMM3FkUDRiSUZGWG9FRDNmV1o1cEJVQ1dJUlFCRTcwZG8zSTlKNTB6SU5meTJJbFBfaGliVVBwcDlYTG9VZmJJd1hRNzljQVNQYTlHU3RBSDVOUHIzVXYxTnZCSGZyY3B6QXc?oc=5
SWANENERGY,Swan Energy Limited,Swan Energy makes upfront payment of Rs 50 crore for Reliance Naval after NCLT's order - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQbFJYS3dJTG04eXhYLVdBeVhDYUQ5dHgzWS1UdUhwd3JzRmFJRWhsZVozYXVFdmYzZUZPaVRQUUhWckh0LUZJOWpKX0dLRFFLYnlJQVhhc0x0bUlVNlpaN0VabDU1a0VBUnRjVDZtbkdMbWkyWTQtUXlLUmFPelBVUXN5cDEwelNjcGpYNEtZcFNMSy1xeGFva2l3WHdFZHhHeW5tTXQtX2RBQ0ktVE9lbmhRbVJuVTZ5UnVtQmxVaWoxWnkyNnhwYm1JRHdRcVhwdHJnUURUeGJfblJDSURuX1U5cUF3dXVraUxR0gHwAUFVX3lxTE5UZGxHMHloM0FqMVozWlVuMWppT3VaamVpc0V1RWc4YlltVTFWMEhWTXMzYUdLU1F1QWJuWFdZSUMycG41NDhxcHVYWmpjX0E2VlZLZzJuRTdIbXptYlktUVUwejFfVTlfZmRULVpHd3g5Wlo0UmtkXzVtMmZ4Q2pwRnR3VjBHMWxhWlplcTBtcmR5elNhdlJqQXpUOWtjenRUaHV3WEVnT1o4ZEhoWndLOGlYbHRNcEJYaEJDQ0FDbjRjZ3dubkNWX29mQXVDZ2Z0V3BqYTdQbEgtVDAzRkhPeEdNcWVoR1pwSzFUUjQ3TA?oc=5"" target=""_blank"">Swan Energy makes upfront payment of Rs 50 crore for Reliance Naval after NCLT's order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-10-10 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQbFJYS3dJTG04eXhYLVdBeVhDYUQ5dHgzWS1UdUhwd3JzRmFJRWhsZVozYXVFdmYzZUZPaVRQUUhWckh0LUZJOWpKX0dLRFFLYnlJQVhhc0x0bUlVNlpaN0VabDU1a0VBUnRjVDZtbkdMbWkyWTQtUXlLUmFPelBVUXN5cDEwelNjcGpYNEtZcFNMSy1xeGFva2l3WHdFZHhHeW5tTXQtX2RBQ0ktVE9lbmhRbVJuVTZ5UnVtQmxVaWoxWnkyNnhwYm1JRHdRcVhwdHJnUURUeGJfblJDSURuX1U5cUF3dXVraUxR0gHwAUFVX3lxTE5UZGxHMHloM0FqMVozWlVuMWppT3VaamVpc0V1RWc4YlltVTFWMEhWTXMzYUdLU1F1QWJuWFdZSUMycG41NDhxcHVYWmpjX0E2VlZLZzJuRTdIbXptYlktUVUwejFfVTlfZmRULVpHd3g5Wlo0UmtkXzVtMmZ4Q2pwRnR3VjBHMWxhWlplcTBtcmR5elNhdlJqQXpUOWtjenRUaHV3WEVnT1o4ZEhoWndLOGlYbHRNcEJYaEJDQ0FDbjRjZ3dubkNWX29mQXVDZ2Z0V3BqYTdQbEgtVDAzRkhPeEdNcWVoR1pwSzFUUjQ3TA?oc=5
