scrip,company,headline,summary,published_date,source,url
JSWHL,JSW Holdings Limited,"JSW Holdings Ltd Stock News on 19 December 2025: JSWHL Trades Near ₹20,000 as Steel-Policy Tailwinds, JSW Steel Deals and Q2 FY26 Numbers Shape the Outlook - TechStock²","<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQTFdtT3cxbll2cmpHOTQyanBYNUZPQ3JBcGZjVUpOWmFUejJqUzVPUjZESXZOdTJCaGd2bTBtd1BwMkZxdE53WW9xN01ERHZMRkE4X1hiQWd2aUd0anZjX0tSeTY0bUVuQjRZWGI0UmRUYnZhdnQzeDNPVmFrUnVCU2ZuTEpST2JjbTVQRktEQ1NVVU45UjE4OTA2SmYzRTJMOHNGMlcxZF9WaGl4STRjVkExQTRxdlliNy1rTmR1SGItaHZTdjc4ZUY2M21lVlc5eVphVG1OcGxmQmhFQzNFdlZ4VDgtTTRmbkpqeHQ2ajh5eUk0cGV4eEpHRzNVOUI0Q2RjMWg1YWJFZVVaY0E?oc=5"" target=""_blank"">JSW Holdings Ltd Stock News on 19 December 2025: JSWHL Trades Near ₹20,000 as Steel-Policy Tailwinds, JSW Steel Deals and Q2 FY26 Numbers Shape the Outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechStock²</font>",2025-12-19 08:00:00,TechStock²,https://news.google.com/rss/articles/CBMijgJBVV95cUxQTFdtT3cxbll2cmpHOTQyanBYNUZPQ3JBcGZjVUpOWmFUejJqUzVPUjZESXZOdTJCaGd2bTBtd1BwMkZxdE53WW9xN01ERHZMRkE4X1hiQWd2aUd0anZjX0tSeTY0bUVuQjRZWGI0UmRUYnZhdnQzeDNPVmFrUnVCU2ZuTEpST2JjbTVQRktEQ1NVVU45UjE4OTA2SmYzRTJMOHNGMlcxZF9WaGl4STRjVkExQTRxdlliNy1rTmR1SGItaHZTdjc4ZUY2M21lVlc5eVphVG1OcGxmQmhFQzNFdlZ4VDgtTTRmbkpqeHQ2ajh5eUk0cGV4eEpHRzNVOUI0Q2RjMWg1YWJFZVVaY0E?oc=5
JSWHL,JSW Holdings Limited,Multibagger stocks: Force Motors to JSW Holdings — 10 stocks that doubled investor money in a year despite Trump tariffs - Mint,"<a href=""https://news.google.com/rss/articles/CBMilgJBVV95cUxNLXoxWGhRVDFwcHB4aTJ3dXZvUUJjTHZ3REZLQmc3aEpraW1KLWpQTjNyRGxlMm9uVDVxS08zcndjQ2piNU4tMHg3OUxmT3RBY3Nsa2paYW5XelBRdWo3THE1R3QyaUlFeEFrY2NscjhEQmk3eUJfZ1ZmcmlydlQ2RVU5cnUxNWpod2JPTnJibmpWSmpPY0dFWVpjdE9uTzZVMWZTdEdiM21jMU1ySWFWalZPOHl2Ty10UjlWNFZodDdkRy1GcFJoWnFnTk9ZU2hWY2ZSMnNQQUI2U2xhbHdZRHZycTRSVDU2Z2JDeDBhbWhWOEFwNVBiV1d6cnZNSmpCMlpfanJyeVR0OVhoZkczN0wwWTlvZ9IBmwJBVV95cUxQT2liVmFaYkgzd2lKMTFEaFZSRi04cF9HZHNWaG9ENTVhN0YxM0FoQWFqWW9rSXBCSnR0QUlZQU5rMGRTQ0l0RHJUT1E1d3ZvRmxzN0l3TmNidHR6Q0VqWHdtSjF5MU1faHFLTWZRb0Z2ZDJ4dTVXcG5JSEg0MDNLR0s5RThwbTVvS0U4Y29IYmV6aE9LbzBUR1BIQ1VOMXFXN01uNjliQU0yRGF2UVNpakRkUHlZd2szb1ViM01WSmRCRGdXUnZHTUVYSjlmazhiNXpuanA1ZjJwdVRCNlZoS3d3c0djcXhNY2tzUkJUc3pYa1lyZGJDQ1pGa3pQSU1vcVBCQTRrd3YteWZBOU54MWVreDJRa3c4YzVz?oc=5"" target=""_blank"">Multibagger stocks: Force Motors to JSW Holdings — 10 stocks that doubled investor money in a year despite Trump tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-09-29 07:00:00,Mint,https://news.google.com/rss/articles/CBMilgJBVV95cUxNLXoxWGhRVDFwcHB4aTJ3dXZvUUJjTHZ3REZLQmc3aEpraW1KLWpQTjNyRGxlMm9uVDVxS08zcndjQ2piNU4tMHg3OUxmT3RBY3Nsa2paYW5XelBRdWo3THE1R3QyaUlFeEFrY2NscjhEQmk3eUJfZ1ZmcmlydlQ2RVU5cnUxNWpod2JPTnJibmpWSmpPY0dFWVpjdE9uTzZVMWZTdEdiM21jMU1ySWFWalZPOHl2Ty10UjlWNFZodDdkRy1GcFJoWnFnTk9ZU2hWY2ZSMnNQQUI2U2xhbHdZRHZycTRSVDU2Z2JDeDBhbWhWOEFwNVBiV1d6cnZNSmpCMlpfanJyeVR0OVhoZkczN0wwWTlvZ9IBmwJBVV95cUxQT2liVmFaYkgzd2lKMTFEaFZSRi04cF9HZHNWaG9ENTVhN0YxM0FoQWFqWW9rSXBCSnR0QUlZQU5rMGRTQ0l0RHJUT1E1d3ZvRmxzN0l3TmNidHR6Q0VqWHdtSjF5MU1faHFLTWZRb0Z2ZDJ4dTVXcG5JSEg0MDNLR0s5RThwbTVvS0U4Y29IYmV6aE9LbzBUR1BIQ1VOMXFXN01uNjliQU0yRGF2UVNpakRkUHlZd2szb1ViM01WSmRCRGdXUnZHTUVYSjlmazhiNXpuanA1ZjJwdVRCNlZoS3d3c0djcXhNY2tzUkJUc3pYa1lyZGJDQ1pGa3pQSU1vcVBCQTRrd3YteWZBOU54MWVreDJRa3c4YzVz?oc=5
JSWHL,JSW Holdings Limited,Do JSW Holdings' (NSE:JSWHL) Earnings Warrant Your Attention? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPY05iWDhZQmdfejI0ZGVhZUlFVGJfZXpXeHZRVktnVjRrWExtQk9ZaWNBUi1XaDJsc2tieHpsdk5oS1E5RVpJUThzRWdRVWxmMzBzdVV0TkpBRDFXdlgzZjIyTkg2al9remVrUEM1alY4NG5PQ3hiUWJUYUpYSnNBMjNXSDdMekpDMTczZ0NvV3FSRmNJUzhodFQ5M0d6TnE1TnNkbUZyMVZobU5jQkItWFFtMTRENkhfb3FRa01GbDlnUTdjX1ZpZVBkMmxmVWpjSXNhOXVPZXN4Sklad1g00gHkAUFVX3lxTFBNRUpwZGNfNi1iWVNYWXZxQU9NblZYTUd2YWRGMjJqbW0yak9HZDhaS09TaWdGRTNMdnFqV0lJY3FJV21feUgtQW9iMG1JbGhLZDJtdmJiaENXbFd3ZHM1Y2tEUTVleGozSDdqcmdyQkN4b0lGX2J4Q3hCQU05OV9vZDNIcjhIMkFuZVNyX3JTWlJRYW01enc1dVU4a0JnazhtbG9wRUxsUnZmUk1BQm1kU1NGQW5zbFZKY2pzNTlMZG53dy0ydGZIWGxROTJoVzZ5U0hsZHdRTzB1VnY2RmhrUWtTTQ?oc=5"" target=""_blank"">Do JSW Holdings' (NSE:JSWHL) Earnings Warrant Your Attention?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-04-01 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPY05iWDhZQmdfejI0ZGVhZUlFVGJfZXpXeHZRVktnVjRrWExtQk9ZaWNBUi1XaDJsc2tieHpsdk5oS1E5RVpJUThzRWdRVWxmMzBzdVV0TkpBRDFXdlgzZjIyTkg2al9remVrUEM1alY4NG5PQ3hiUWJUYUpYSnNBMjNXSDdMekpDMTczZ0NvV3FSRmNJUzhodFQ5M0d6TnE1TnNkbUZyMVZobU5jQkItWFFtMTRENkhfb3FRa01GbDlnUTdjX1ZpZVBkMmxmVWpjSXNhOXVPZXN4Sklad1g00gHkAUFVX3lxTFBNRUpwZGNfNi1iWVNYWXZxQU9NblZYTUd2YWRGMjJqbW0yak9HZDhaS09TaWdGRTNMdnFqV0lJY3FJV21feUgtQW9iMG1JbGhLZDJtdmJiaENXbFd3ZHM1Y2tEUTVleGozSDdqcmdyQkN4b0lGX2J4Q3hCQU05OV9vZDNIcjhIMkFuZVNyX3JTWlJRYW01enc1dVU4a0JnazhtbG9wRUxsUnZmUk1BQm1kU1NGQW5zbFZKY2pzNTlMZG53dy0ydGZIWGxROTJoVzZ5U0hsZHdRTzB1VnY2RmhrUWtTTQ?oc=5
JSWHL,JSW Holdings Limited,"JSW Holdings shares hit all-time high, surging 70% in just 4 sessions - India Today","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxObTJiM0pnRXBYNVdwRTMwUlBzTUFYLTB0ZkVRZXNUcmNBU0RyMDh4dDM1YXpqMG83ZGlQTUhNUjhxV1BhRzFiUGN2MklaTVZ4VGgyQS1xbkczQlA2UXU2Z1VreDQxdnhIWW91Tmlncm1ueXVZRFJaTjg2emRLYVZNQmNzYUpBQTMxeHJIVm15RUtIdHV1dlg3dnNla1dDMGdaLWZ0MEJFcUdxSGtqU2xpUXNzOERSZXpRV1U4a3VMM0pZWG1kNGdTdEdJLVnSAdIBQVVfeXFMUEdKcllSNkJrblYxOXNhZkFJXzdERnh3RGozLUZyc2RaQTFPQi1IeFF3VFFHRWFiTExMQjBRNkxqRXAzMDdJNnh0NTJCalVvUXViTGJ4NDNIS20yYW5oQTVTcTF5YURpanNMa2hmRXdYMVg1d3VVcy1HY3N2eDBxUll6RnZzeU9BLV9BSWxJR2hCb0o1ZEh1VUgwN25KR0d2bHBZWnZDZ0J2VngwZmY1bW4tVGpnV3JRR2lZem5UYUctWVJtRk1lb1U4b0NnV2Q5Z0ZB?oc=5"" target=""_blank"">JSW Holdings shares hit all-time high, surging 70% in just 4 sessions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",2024-11-11 08:00:00,India Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxObTJiM0pnRXBYNVdwRTMwUlBzTUFYLTB0ZkVRZXNUcmNBU0RyMDh4dDM1YXpqMG83ZGlQTUhNUjhxV1BhRzFiUGN2MklaTVZ4VGgyQS1xbkczQlA2UXU2Z1VreDQxdnhIWW91Tmlncm1ueXVZRFJaTjg2emRLYVZNQmNzYUpBQTMxeHJIVm15RUtIdHV1dlg3dnNla1dDMGdaLWZ0MEJFcUdxSGtqU2xpUXNzOERSZXpRV1U4a3VMM0pZWG1kNGdTdEdJLVnSAdIBQVVfeXFMUEdKcllSNkJrblYxOXNhZkFJXzdERnh3RGozLUZyc2RaQTFPQi1IeFF3VFFHRWFiTExMQjBRNkxqRXAzMDdJNnh0NTJCalVvUXViTGJ4NDNIS20yYW5oQTVTcTF5YURpanNMa2hmRXdYMVg1d3VVcy1HY3N2eDBxUll6RnZzeU9BLV9BSWxJR2hCb0o1ZEh1VUgwN25KR0d2bHBZWnZDZ0J2VngwZmY1bW4tVGpnV3JRR2lZem5UYUctWVJtRk1lb1U4b0NnV2Q5Z0ZB?oc=5
JSWHL,JSW Holdings Limited,JSW Holdings shares hit record high! Stock rallied 70% in 4 sessions; co clarifies on price upmove - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOQUFmeHhjX1d1WFRXWThKd0l0MFlYQ0tsNUFobVdxY2lTWnNVVlpqRFoxM3BjYlJ4V1doY08ycTBUeUROVHo3ZlhPX1ZxRkJwaGNFV2h0aEM5Y04zcGJKckNsOGd4THlFMS1NMmZFTmlNQTBybm84bzJnWXdpRnhTaDZSdXVUanY5UWVOWnJHVWU5R1d1bzZCODdxLUpLc0RoYnRodmNJMmVyUGhCMk4zWk9YV2d3MDN0WGdacFBOeTNLOEhfeHJHMzYybzBSQzFubkYtRktYSl9CWlM3SDRpbE1yX1RRMVdpeGowNk9sYnRrR3fSAfgBQVVfeXFMTXYtR05IYU9DdmtBOWhGSV9ZQU1xOHRJMmFKTExoT3NRS0ZpMGFpaHRkWnBxT0VzeGsyM0l5NVNSa3NaalFYZFdNSDhCR0IxaGdOTGNURUROWGpYdnFkbVYxN0sxVnZoQU9iSXJUbjAxcHYyNzZJLW85b0FibjZsTEpCTHpGamVBMmk0T2Nyc0dkRGViUDh4ZlBQYjdRV3JzYkE5cW00ZVV2MzVJSWR6SzllWFhPT1NlSDYzX1FMZEY5cnZCMVZDMnlCV3lXal83RVZzbW5hR3BKd0tiOW13Yk9sLVNxQ25SQ005UWVDTVdsNnRyY1Zfa2Y?oc=5"" target=""_blank"">JSW Holdings shares hit record high! Stock rallied 70% in 4 sessions; co clarifies on price upmove</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-11-11 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOQUFmeHhjX1d1WFRXWThKd0l0MFlYQ0tsNUFobVdxY2lTWnNVVlpqRFoxM3BjYlJ4V1doY08ycTBUeUROVHo3ZlhPX1ZxRkJwaGNFV2h0aEM5Y04zcGJKckNsOGd4THlFMS1NMmZFTmlNQTBybm84bzJnWXdpRnhTaDZSdXVUanY5UWVOWnJHVWU5R1d1bzZCODdxLUpLc0RoYnRodmNJMmVyUGhCMk4zWk9YV2d3MDN0WGdacFBOeTNLOEhfeHJHMzYybzBSQzFubkYtRktYSl9CWlM3SDRpbE1yX1RRMVdpeGowNk9sYnRrR3fSAfgBQVVfeXFMTXYtR05IYU9DdmtBOWhGSV9ZQU1xOHRJMmFKTExoT3NRS0ZpMGFpaHRkWnBxT0VzeGsyM0l5NVNSa3NaalFYZFdNSDhCR0IxaGdOTGNURUROWGpYdnFkbVYxN0sxVnZoQU9iSXJUbjAxcHYyNzZJLW85b0FibjZsTEpCTHpGamVBMmk0T2Nyc0dkRGViUDh4ZlBQYjdRV3JzYkE5cW00ZVV2MzVJSWR6SzllWFhPT1NlSDYzX1FMZEY5cnZCMVZDMnlCV3lXal83RVZzbW5hR3BKd0tiOW13Yk9sLVNxQ25SQ005UWVDTVdsNnRyY1Zfa2Y?oc=5
JSWHL,JSW Holdings Limited,JSWHL Share Price | JSW Holdings Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE9VaUJZZkdhVWJSYUJJVmlqc044QXlGT19ZUkJZS0U2S2tKQUJmVDVvTTFPWVA0OEdSeVZmcmExWUFpdFhucTctRWhOaUY3M3h3SFRrdXhLckpqUU9HVzdTa3lCaHZCRWNyWmxuTEJaZTJVSVU?oc=5"" target=""_blank"">JSWHL Share Price | JSW Holdings Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-03-06 04:40:05,Markets Mojo,https://news.google.com/rss/articles/CBMic0FVX3lxTE9VaUJZZkdhVWJSYUJJVmlqc044QXlGT19ZUkJZS0U2S2tKQUJmVDVvTTFPWVA0OEdSeVZmcmExWUFpdFhucTctRWhOaUY3M3h3SFRrdXhLckpqUU9HVzdTa3lCaHZCRWNyWmxuTEJaZTJVSVU?oc=5
JSWHL,JSW Holdings Limited,"JSW-MG Motor deal: 'Always wanted to build cars in India,' says billionaire Sajjan Jindal - Business Today","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPT1RvZ3VoWVhFZkdxamFvYjVHQWZNYnhGbklFSWFyZ3laSlYtRzNDTmR0RzBYNXBPb2tlVjBTRTllRzROY0gzYlVrS2pjRm9qdHZfTjAwWkRULUFnN1N0emNKbFBob2lqa0FuVEtuSXEtTkd0NHlhWThobVFJQzJFcy1PNzFQYnpuZU1ZWU1XdFg4ZzhrN0JxX1lMc3VnR1hMZ3c4ZXhnNUhxdjlnaFJIVzQxY282SFRPT1liYTYwZHB4cVRfSjFpcDFYRmhjRVpzazhCRHJwN3A3RjjSAeABQVVfeXFMUEdKTHFmU3U2YkdjcGN1cG9UZmF0UmhNU210VjlMVXlKV2dzdFJZeHlVN0RKSWUzQ3VIakpNeHFkekdwcHJwSDJ2VVBHeEFCUEYzSkpCTjc1Q2hDcGI5ZFVUQ0pySlQtX1JYN0gtUmhDS0phT2NCeDJjd21aQzRibVZ3Q1RRa0RXWVlSQzVVSS1sSS1Jb1VuNGJuR2hZZ1d3bFo4WmZSTnhiTENTekFUTFBLVDE5Wlp0Z1RtbzNvQjFlNVpLUFRWVnZGd0EwajJ2d2Z3N3ZydnhtZDNDQkgtLWc?oc=5"" target=""_blank"">JSW-MG Motor deal: 'Always wanted to build cars in India,' says billionaire Sajjan Jindal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-03-20 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPT1RvZ3VoWVhFZkdxamFvYjVHQWZNYnhGbklFSWFyZ3laSlYtRzNDTmR0RzBYNXBPb2tlVjBTRTllRzROY0gzYlVrS2pjRm9qdHZfTjAwWkRULUFnN1N0emNKbFBob2lqa0FuVEtuSXEtTkd0NHlhWThobVFJQzJFcy1PNzFQYnpuZU1ZWU1XdFg4ZzhrN0JxX1lMc3VnR1hMZ3c4ZXhnNUhxdjlnaFJIVzQxY282SFRPT1liYTYwZHB4cVRfSjFpcDFYRmhjRVpzazhCRHJwN3A3RjjSAeABQVVfeXFMUEdKTHFmU3U2YkdjcGN1cG9UZmF0UmhNU210VjlMVXlKV2dzdFJZeHlVN0RKSWUzQ3VIakpNeHFkekdwcHJwSDJ2VVBHeEFCUEYzSkpCTjc1Q2hDcGI5ZFVUQ0pySlQtX1JYN0gtUmhDS0phT2NCeDJjd21aQzRibVZ3Q1RRa0RXWVlSQzVVSS1sSS1Jb1VuNGJuR2hZZ1d3bFo4WmZSTnhiTENTekFUTFBLVDE5Wlp0Z1RtbzNvQjFlNVpLUFRWVnZGd0EwajJ2d2Z3N3ZydnhtZDNDQkgtLWc?oc=5
JSWHL,JSW Holdings Limited,"JSW Cement's ₹4,000 crore IPO gets SEBI's nod; check objectives and financials - Upstox","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxORjJzZDRrTUJmTUZ3YnczTUlBRmxFR2pRX0hSS0xtU1R6Z1FkeWsyRnVLUjZNUUwzc3c2bjN1ZF9uN0ZNMlNSaGRyNlRLdUM3Tk1VY1ZoVW5vd0xGRWV6N2NSaHlfak5iT3pFSnFvTjg4Tkl4Wi1BMWZHZ0huUFNlRFQ3TEh0NEx4dTdxcUFZUG5UZVpmUXpoQld2dmh3YkVwOVIyOUtzYXBGMlB4ajZvallUY2FFc3kzbVdGa2hheFBjQ1YyS29KVFBzQjc?oc=5"" target=""_blank"">JSW Cement's ₹4,000 crore IPO gets SEBI's nod; check objectives and financials</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-02-16 08:00:00,Upstox,https://news.google.com/rss/articles/CBMizAFBVV95cUxORjJzZDRrTUJmTUZ3YnczTUlBRmxFR2pRX0hSS0xtU1R6Z1FkeWsyRnVLUjZNUUwzc3c2bjN1ZF9uN0ZNMlNSaGRyNlRLdUM3Tk1VY1ZoVW5vd0xGRWV6N2NSaHlfak5iT3pFSnFvTjg4Tkl4Wi1BMWZHZ0huUFNlRFQ3TEh0NEx4dTdxcUFZUG5UZVpmUXpoQld2dmh3YkVwOVIyOUtzYXBGMlB4ajZvallUY2FFc3kzbVdGa2hheFBjQ1YyS29KVFBzQjc?oc=5
JSWHL,JSW Holdings Limited,Earnings Update: JSW Infrastructure Limited (NSE:JSWINFRA) Just Reported Its Third-Quarter Results And Analysts Are Updating Their Forecasts - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVWgzTnpJMDVYTl8wNTlQeHkyeWh6Nk9TcUJzM1hDMDB5N3JXUmJoZXd2VWFQY1FUV3VVZzE3U2JBRWpETnk1bXdISVpvOWljTUs1ekFQUlFCWjM0S243a2hCWGhiY2JCc0wwWVpxdVFsbjlJZHN4TV9BQWZRSVBvVDlxbFI1M283Ri05dEVLaEJ0OWM0TnFLa3I5aDBRSHgxejlRVDN1UmVfLWF4a2JlRExZaEtGdUxXZ0NPU2d0V1d2LUI0Wno0VGpyQk1PeHhJODFtQnd0bEtPNXJ6cnQzYnloa1bSAeoBQVVfeXFMTUVjUmhMTG5mcFEzUWFFRVlRdTFxMll4OGY2ejhZZ0FKYjR2Qm5PVnZEb0hoQ29OckkzWFR6MXVRWHBHOEdvY0hWVWE1eG5wRVp6aEZPbGlCZmZ3eU1aVlNid1hOSFFLZEtMTGdEX1lnOUNveDNWek9zSmFzNUNNNXB2QVBPdUxrcjNtNXh4b0d0RlBFM3JJYjc2bk9VV3dYNzNteWVVR2p3SVprWi1QblJGam9Bc3NYbXo3czBxZExWaHBaTjhrbWVfLWE4QzFjNUUxcTJTMTJzT2NZRDl5R2pRTkZOZ1BCWnJB?oc=5"" target=""_blank"">Earnings Update: JSW Infrastructure Limited (NSE:JSWINFRA) Just Reported Its Third-Quarter Results And Analysts Are Updating Their Forecasts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-21 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVWgzTnpJMDVYTl8wNTlQeHkyeWh6Nk9TcUJzM1hDMDB5N3JXUmJoZXd2VWFQY1FUV3VVZzE3U2JBRWpETnk1bXdISVpvOWljTUs1ekFQUlFCWjM0S243a2hCWGhiY2JCc0wwWVpxdVFsbjlJZHN4TV9BQWZRSVBvVDlxbFI1M283Ri05dEVLaEJ0OWM0TnFLa3I5aDBRSHgxejlRVDN1UmVfLWF4a2JlRExZaEtGdUxXZ0NPU2d0V1d2LUI0Wno0VGpyQk1PeHhJODFtQnd0bEtPNXJ6cnQzYnloa1bSAeoBQVVfeXFMTUVjUmhMTG5mcFEzUWFFRVlRdTFxMll4OGY2ejhZZ0FKYjR2Qm5PVnZEb0hoQ29OckkzWFR6MXVRWHBHOEdvY0hWVWE1eG5wRVp6aEZPbGlCZmZ3eU1aVlNid1hOSFFLZEtMTGdEX1lnOUNveDNWek9zSmFzNUNNNXB2QVBPdUxrcjNtNXh4b0d0RlBFM3JJYjc2bk9VV3dYNzNteWVVR2p3SVprWi1QblJGam9Bc3NYbXo3czBxZExWaHBaTjhrbWVfLWE4QzFjNUUxcTJTMTJzT2NZRDl5R2pRTkZOZ1BCWnJB?oc=5
JSWHL,JSW Holdings Limited,"JSW Holdings Consolidated December 2025 Net Sales at Rs 32.66 crore, up 11.79% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPeGRGNFJDMUF2RDNQSFAwWEhmZXcxOE1TN0hKYkxaRzQ3Nlg0b1ZfLWRic1hGbERKWTRTZzlScVZjd3Z3dXVEODAtUjB0N0NjR1FhbHI2TVZoRUFfZFhTd1VHdzR2TjRKcHRUOXdRN1FSU3N6N1V2SWV4bDFqc3FqWWZoZVdCWFQ0QkgtME8tYkV3YlNydGZRU3BIY0JxWG1jRGdfbzVZOEpCWVNza2ExLUZiNmV3QzF3NUJOSFVHSTQ5RXUtQUlYMTlwNFVKUTJJemRaX1lVZEVZckhKdEVtSWVn0gHnAUFVX3lxTE1iQVB4TWwxdGNCblEtSGJUNGF3bXpsdG1zdTlQS2JGZE8yNlNRZFB2a3h3M3dJY3ltZGtVUE9nelhGeW1oZHV6M1loSGgtb28waG9zY0R5enFIcEphdFZlUy1yQW1lX1JxYVM5ODBOTlNaQ194VFFBTVFXZTdaMkNadkRGWkJTbmJKaXF3SXJvOGxnT1JibVR6Xy1RLWV6UHpULWpNZjl6LU14Z05RNS1PTTdvOWtLd2duNENOMjdMaExiYlhlckNtMmtpdFBBc2dpeEYxYnZfdmx1OGZVbDF0RFZIc0Nvbw?oc=5"" target=""_blank"">JSW Holdings Consolidated December 2025 Net Sales at Rs 32.66 crore, up 11.79% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-01-30 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPeGRGNFJDMUF2RDNQSFAwWEhmZXcxOE1TN0hKYkxaRzQ3Nlg0b1ZfLWRic1hGbERKWTRTZzlScVZjd3Z3dXVEODAtUjB0N0NjR1FhbHI2TVZoRUFfZFhTd1VHdzR2TjRKcHRUOXdRN1FSU3N6N1V2SWV4bDFqc3FqWWZoZVdCWFQ0QkgtME8tYkV3YlNydGZRU3BIY0JxWG1jRGdfbzVZOEpCWVNza2ExLUZiNmV3QzF3NUJOSFVHSTQ5RXUtQUlYMTlwNFVKUTJJemRaX1lVZEVZckhKdEVtSWVn0gHnAUFVX3lxTE1iQVB4TWwxdGNCblEtSGJUNGF3bXpsdG1zdTlQS2JGZE8yNlNRZFB2a3h3M3dJY3ltZGtVUE9nelhGeW1oZHV6M1loSGgtb28waG9zY0R5enFIcEphdFZlUy1yQW1lX1JxYVM5ODBOTlNaQ194VFFBTVFXZTdaMkNadkRGWkJTbmJKaXF3SXJvOGxnT1JibVR6Xy1RLWV6UHpULWpNZjl6LU14Z05RNS1PTTdvOWtLd2duNENOMjdMaExiYlhlckNtMmtpdFBBc2dpeEYxYnZfdmx1OGZVbDF0RFZIc0Nvbw?oc=5
